Route_ID,Origin,Destination,Vehicle_Type,Weather_Condition,Traffic_Density
RT-00438,Erzurum,Denizli,Electric Semi,Normal,Medium
RT-00439,Erzurum,Denizli,Electric Semi,Snow,High
RT-00440,Erzurum,Denizli,Hybrid Van,Normal,High
RT-00441,Erzurum,Denizli,Hybrid Van,Normal,Low
RT-00442,Erzurum,Diyarbakir,Diesel Truck,Normal,Medium
RT-00443,Erzurum,Diyarbakir,Diesel Truck,Snow,Low
RT-00444,Erzurum,Diyarbakir,Hybrid Van,Snow,Medium
RT-00445,Erzurum,Diyarbakir,Hybrid Van,Storm,High
RT-00446,Erzurum,Eskisehir,Diesel Truck,Normal,High
RT-00447,Erzurum,Eskisehir,Diesel Truck,Storm,Medium
RT-00448,Erzurum,Eskisehir,Electric Semi,Snow,Medium
RT-00449,Erzurum,Eskisehir,Hybrid Van,Normal,Low
RT-00450,Erzurum,Gaziantep,Diesel Truck,Normal,High
RT-00451,Erzurum,Gaziantep,Diesel Truck,Normal,Low
RT-00452,Erzurum,Gaziantep,Electric Semi,Snow,Medium
RT-00453,Erzurum,Gaziantep,Hybrid Van,Normal,Low
RT-00454,Erzurum,Gaziantep,Hybrid Van,Storm,Low
RT-00455,Erzurum,Istanbul,Hybrid Van,Normal,High
RT-00456,Erzurum,Istanbul,Hybrid Van,Rain,Medium
RT-00457,Erzurum,Izmir,Diesel Truck,Normal,High
RT-00458,Erzurum,Izmir,Diesel Truck,Rain,Medium
RT-00459,Erzurum,Izmir,Electric Semi,Rain,Low
RT-00460,Erzurum,Izmir,Electric Semi,Snow,Medium
RT-00461,Erzurum,Izmir,Hybrid Van,Rain,Low
RT-00462,Erzurum,Kayseri,Diesel Truck,Normal,Low
RT-00463,Erzurum,Kayseri,Diesel Truck,Normal,Medium
RT-00464,Erzurum,Kayseri,Diesel Truck,Rain,Medium
RT-00465,Erzurum,Kayseri,Electric Semi,Normal,Low
RT-00466,Erzurum,Kayseri,Hybrid Van,Normal,High
RT-00467,Erzurum,Kocaeli,Diesel Truck,Normal,Low
RT-00468,Erzurum,Kocaeli,Diesel Truck,Normal,Medium
RT-00469,Erzurum,Kocaeli,Diesel Truck,Snow,Low
RT-00470,Erzurum,Konya,Diesel Truck,Normal,Medium
RT-00471,Erzurum,Konya,Diesel Truck,Rain,Low
RT-00472,Erzurum,Konya,Diesel Truck,Rain,Medium
RT-00473,Erzurum,Konya,Hybrid Van,Normal,Medium
RT-00474,Erzurum,Konya,Hybrid Van,Snow,Low
RT-00475,Erzurum,Malatya,Electric Semi,Normal,High
RT-00476,Erzurum,Malatya,Electric Semi,Rain,Medium
RT-00477,Erzurum,Malatya,Electric Semi,Snow,High
RT-00478,Erzurum,Mersin,Diesel Truck,Normal,Low
RT-00479,Erzurum,Mersin,Diesel Truck,Normal,Medium
RT-00480,Erzurum,Mersin,Diesel Truck,Snow,Medium
RT-00481,Erzurum,Mersin,Electric Semi,Normal,Low
RT-00482,Erzurum,Sakarya,Diesel Truck,Normal,Low
RT-00483,Erzurum,Sakarya,Electric Semi,Storm,Low
RT-00484,Erzurum,Sakarya,Hybrid Van,Snow,Low
RT-00485,Erzurum,Samsun,Diesel Truck,Snow,Medium
RT-00486,Erzurum,Samsun,Diesel Truck,Storm,High
RT-00487,Erzurum,Samsun,Diesel Truck,Storm,Low
RT-00488,Erzurum,Samsun,Hybrid Van,Normal,Low
RT-00489,Erzurum,Trabzon,Diesel Truck,Normal,Low
RT-00490,Erzurum,Trabzon,Electric Semi,Normal,High
RT-00491,Erzurum,Trabzon,Hybrid Van,Snow,Low
RT-00492,Erzurum,Van,Diesel Truck,Normal,Low
RT-00493,Erzurum,Van,Diesel Truck,Rain,Medium
RT-00494,Erzurum,Van,Electric Semi,Normal,High
RT-00495,Eskisehir,Adana,Diesel Truck,Normal,High
RT-00496,Eskisehir,Adana,Hybrid Van,Storm,Medium
RT-00497,Eskisehir,Ankara,Diesel Truck,Storm,High
RT-00498,Eskisehir,Ankara,Electric Semi,Rain,Low
RT-00499,Eskisehir,Ankara,Hybrid Van,Normal,Medium
RT-00500,Eskisehir,Antalya,Diesel Truck,Normal,Low
RT-00501,Eskisehir,Antalya,Diesel Truck,Rain,Medium
RT-00502,Eskisehir,Antalya,Electric Semi,Normal,Low
RT-00503,Eskisehir,Antalya,Hybrid Van,Normal,Low
RT-00504,Eskisehir,Bursa,Diesel Truck,Normal,Low
RT-00505,Eskisehir,Bursa,Diesel Truck,Normal,Medium
RT-00506,Eskisehir,Bursa,Hybrid Van,Snow,High
RT-00507,Eskisehir,Denizli,Diesel Truck,Normal,Medium
RT-00508,Eskisehir,Denizli,Electric Semi,Normal,Low
RT-00509,Eskisehir,Denizli,Electric Semi,Normal,Medium
RT-00510,Eskisehir,Denizli,Hybrid Van,Normal,Low
RT-00511,Eskisehir,Denizli,Hybrid Van,Normal,Medium
RT-00512,Eskisehir,Diyarbakir,Diesel Truck,Normal,Medium
RT-00513,Eskisehir,Diyarbakir,Diesel Truck,Rain,High
RT-00514,Eskisehir,Diyarbakir,Diesel Truck,Snow,Low
RT-00515,Eskisehir,Diyarbakir,Hybrid Van,Normal,Low
RT-00516,Eskisehir,Erzurum,Diesel Truck,Normal,High
RT-00517,Eskisehir,Erzurum,Diesel Truck,Normal,Low
RT-00518,Eskisehir,Erzurum,Diesel Truck,Storm,High
RT-00519,Eskisehir,Erzurum,Electric Semi,Normal,High
RT-00520,Eskisehir,Erzurum,Hybrid Van,Rain,Low
RT-00521,Eskisehir,Istanbul,Diesel Truck,Normal,Low
RT-00522,Eskisehir,Istanbul,Diesel Truck,Rain,Low
RT-00523,Eskisehir,Istanbul,Hybrid Van,Snow,Low
RT-00524,Eskisehir,Izmir,Diesel Truck,Normal,Low
RT-00525,Eskisehir,Kayseri,Hybrid Van,Rain,Low
RT-00526,Eskisehir,Kocaeli,Diesel Truck,Rain,Low
RT-00527,Eskisehir,Kocaeli,Hybrid Van,Normal,Medium
RT-00528,Eskisehir,Kocaeli,Hybrid Van,Storm,High
RT-00529,Eskisehir,Konya,Hybrid Van,Normal,High
RT-00530,Eskisehir,Konya,Hybrid Van,Normal,Low
RT-00531,Eskisehir,Malatya,Diesel Truck,Normal,Medium
RT-00532,Eskisehir,Malatya,Diesel Truck,Rain,Medium
RT-00533,Eskisehir,Malatya,Electric Semi,Normal,Medium
RT-00534,Eskisehir,Malatya,Electric Semi,Rain,High
RT-00535,Eskisehir,Mersin,Diesel Truck,Snow,Low
RT-00536,Eskisehir,Mersin,Diesel Truck,Snow,Medium
RT-00537,Eskisehir,Mersin,Electric Semi,Normal,Low
RT-00538,Eskisehir,Mersin,Hybrid Van,Normal,High
RT-00539,Eskisehir,Mersin,Hybrid Van,Rain,Medium
RT-00540,Eskisehir,Mersin,Hybrid Van,Snow,Medium
RT-00541,Eskisehir,Sakarya,Diesel Truck,Normal,High
RT-00542,Eskisehir,Sakarya,Diesel Truck,Normal,Medium
RT-00543,Eskisehir,Sakarya,Electric Semi,Normal,Low
RT-00544,Eskisehir,Sakarya,Hybrid Van,Normal,Medium
RT-00545,Eskisehir,Samsun,Diesel Truck,Normal,Medium
RT-00546,Eskisehir,Samsun,Diesel Truck,Rain,High
RT-00547,Eskisehir,Samsun,Diesel Truck,Rain,Medium
RT-00548,Eskisehir,Samsun,Diesel Truck,Snow,Medium
RT-00549,Eskisehir,Samsun,Electric Semi,Normal,Low
RT-00550,Eskisehir,Trabzon,Diesel Truck,Snow,Medium
RT-00551,Eskisehir,Trabzon,Hybrid Van,Normal,High
RT-00552,Eskisehir,Trabzon,Hybrid Van,Normal,Medium
RT-00553,Eskisehir,Van,Diesel Truck,Rain,Low
RT-00554,Eskisehir,Van,Electric Semi,Normal,High
RT-00555,Eskisehir,Van,Electric Semi,Snow,Medium
RT-00556,Gaziantep,Adana,Electric Semi,Normal,High
RT-00557,Gaziantep,Ankara,Diesel Truck,Normal,Low
RT-00558,Gaziantep,Ankara,Electric Semi,Normal,Low
RT-00559,Gaziantep,Ankara,Electric Semi,Storm,High
RT-00560,Gaziantep,Ankara,Electric Semi,Storm,Low
RT-00561,Gaziantep,Ankara,Hybrid Van,Normal,Medium
RT-00562,Gaziantep,Antalya,Diesel Truck,Snow,Medium
RT-00563,Gaziantep,Bursa,Diesel Truck,Normal,High
RT-00564,Gaziantep,Bursa,Electric Semi,Snow,Low
RT-00565,Gaziantep,Bursa,Hybrid Van,Normal,High
RT-00566,Gaziantep,Bursa,Hybrid Van,Normal,Medium
RT-00567,Gaziantep,Denizli,Diesel Truck,Normal,Low
RT-00568,Gaziantep,Denizli,Diesel Truck,Normal,Medium
RT-00569,Gaziantep,Diyarbakir,Diesel Truck,Snow,Low
RT-00570,Gaziantep,Diyarbakir,Diesel Truck,Storm,Low
RT-00571,Gaziantep,Diyarbakir,Electric Semi,Normal,Low
RT-00572,Gaziantep,Diyarbakir,Electric Semi,Rain,High
RT-00573,Gaziantep,Diyarbakir,Hybrid Van,Snow,High
RT-00574,Gaziantep,Erzurum,Diesel Truck,Normal,Medium
RT-00575,Gaziantep,Erzurum,Electric Semi,Normal,Low
RT-00576,Gaziantep,Erzurum,Electric Semi,Snow,High
RT-00577,Gaziantep,Eskisehir,Diesel Truck,Normal,Low
RT-00578,Gaziantep,Eskisehir,Diesel Truck,Normal,Medium
RT-00579,Gaziantep,Eskisehir,Diesel Truck,Snow,Low
RT-00580,Gaziantep,Eskisehir,Diesel Truck,Snow,Medium
RT-00581,Gaziantep,Eskisehir,Hybrid Van,Normal,High
RT-00582,Gaziantep,Istanbul,Diesel Truck,Normal,Low
RT-00583,Gaziantep,Istanbul,Diesel Truck,Rain,High
RT-00584,Gaziantep,Istanbul,Diesel Truck,Rain,Low
RT-00585,Gaziantep,Istanbul,Diesel Truck,Storm,Medium
RT-00586,Gaziantep,Istanbul,Electric Semi,Rain,High
RT-00587,Gaziantep,Istanbul,Hybrid Van,Rain,High
RT-00588,Gaziantep,Istanbul,Hybrid Van,Rain,Medium
RT-00589,Gaziantep,Izmir,Diesel Truck,Normal,Low
RT-00590,Gaziantep,Izmir,Diesel Truck,Rain,Low
RT-00591,Gaziantep,Izmir,Hybrid Van,Normal,Low
RT-00592,Gaziantep,Kayseri,Diesel Truck,Normal,High
RT-00593,Gaziantep,Kayseri,Diesel Truck,Normal,Low
RT-00594,Gaziantep,Kayseri,Diesel Truck,Snow,Medium
RT-00595,Gaziantep,Kayseri,Hybrid Van,Normal,Low
RT-00596,Gaziantep,Kocaeli,Electric Semi,Rain,Low
RT-00597,Gaziantep,Kocaeli,Electric Semi,Storm,Medium
RT-00598,Gaziantep,Kocaeli,Hybrid Van,Normal,Medium
RT-00599,Gaziantep,Kocaeli,Hybrid Van,Rain,Low
RT-00600,Gaziantep,Konya,Diesel Truck,Normal,Low
RT-00601,Gaziantep,Konya,Electric Semi,Snow,Medium
RT-00602,Gaziantep,Konya,Hybrid Van,Rain,Low
RT-00603,Gaziantep,Malatya,Diesel Truck,Normal,High
RT-00604,Gaziantep,Malatya,Diesel Truck,Normal,Low
RT-00605,Gaziantep,Malatya,Electric Semi,Normal,Low
RT-00606,Gaziantep,Malatya,Hybrid Van,Normal,Medium
RT-00607,Gaziantep,Mersin,Diesel Truck,Normal,Low
RT-00608,Gaziantep,Mersin,Hybrid Van,Normal,Medium
RT-00609,Gaziantep,Sakarya,Diesel Truck,Normal,Low
RT-00610,Gaziantep,Sakarya,Diesel Truck,Normal,Medium
RT-00611,Gaziantep,Sakarya,Diesel Truck,Rain,High
RT-00612,Gaziantep,Sakarya,Electric Semi,Rain,Low
RT-00613,Gaziantep,Sakarya,Hybrid Van,Rain,High
RT-00614,Gaziantep,Samsun,Diesel Truck,Normal,Low
RT-00615,Gaziantep,Samsun,Diesel Truck,Normal,Medium
RT-00616,Gaziantep,Samsun,Diesel Truck,Rain,Medium
RT-00617,Gaziantep,Samsun,Hybrid Van,Normal,Low
RT-00618,Gaziantep,Samsun,Hybrid Van,Rain,Medium
RT-00619,Gaziantep,Trabzon,Electric Semi,Storm,High
RT-00620,Gaziantep,Trabzon,Hybrid Van,Snow,High
RT-00621,Gaziantep,Van,Diesel Truck,Normal,Low
RT-00622,Gaziantep,Van,Electric Semi,Normal,Low
RT-00623,Gaziantep,Van,Hybrid Van,Rain,Low
RT-00624,Istanbul,Adana,Diesel Truck,Normal,Medium
RT-00625,Istanbul,Ankara,Diesel Truck,Rain,High
RT-00626,Istanbul,Ankara,Electric Semi,Storm,High
RT-00627,Istanbul,Ankara,Hybrid Van,Normal,Medium
RT-00628,Istanbul,Ankara,Hybrid Van,Snow,Medium
RT-00629,Istanbul,Antalya,Electric Semi,Normal,Low
RT-00630,Istanbul,Antalya,Electric Semi,Normal,Medium
RT-00631,Istanbul,Antalya,Electric Semi,Rain,Medium
RT-00632,Istanbul,Antalya,Hybrid Van,Normal,Low
RT-00633,Istanbul,Antalya,Hybrid Van,Storm,Medium
RT-00634,Istanbul,Bursa,Diesel Truck,Normal,High
RT-00635,Istanbul,Bursa,Diesel Truck,Normal,Low
RT-00636,Istanbul,Bursa,Hybrid Van,Normal,Medium
RT-00637,Istanbul,Denizli,Diesel Truck,Normal,Low
RT-00638,Istanbul,Denizli,Diesel Truck,Normal,Medium
RT-00639,Istanbul,Denizli,Diesel Truck,Snow,High
RT-00640,Istanbul,Denizli,Diesel Truck,Snow,Medium
RT-00641,Istanbul,Denizli,Electric Semi,Storm,High
RT-00642,Istanbul,Denizli,Hybrid Van,Normal,Low
RT-00643,Istanbul,Diyarbakir,Electric Semi,Normal,High
RT-00644,Istanbul,Diyarbakir,Hybrid Van,Normal,Medium
RT-00645,Istanbul,Erzurum,Diesel Truck,Storm,High
RT-00646,Istanbul,Erzurum,Electric Semi,Normal,High
RT-00647,Istanbul,Erzurum,Hybrid Van,Normal,High
RT-00648,Istanbul,Erzurum,Hybrid Van,Normal,Medium
RT-00649,Istanbul,Eskisehir,Diesel Truck,Normal,Low
RT-00650,Istanbul,Eskisehir,Diesel Truck,Storm,Medium
RT-00651,Istanbul,Eskisehir,Electric Semi,Rain,Medium
RT-00652,Istanbul,Eskisehir,Hybrid Van,Snow,Medium
RT-00653,Istanbul,Eskisehir,Hybrid Van,Storm,High
RT-00654,Istanbul,Gaziantep,Diesel Truck,Normal,Medium
RT-00655,Istanbul,Izmir,Diesel Truck,Normal,Medium
RT-00656,Istanbul,Izmir,Diesel Truck,Rain,Low
RT-00657,Istanbul,Izmir,Diesel Truck,Snow,High
RT-00658,Istanbul,Izmir,Electric Semi,Normal,Low
RT-00659,Istanbul,Izmir,Electric Semi,Normal,Medium
RT-00660,Istanbul,Izmir,Electric Semi,Snow,Low
RT-00661,Istanbul,Izmir,Hybrid Van,Normal,Low
RT-00662,Istanbul,Kayseri,Diesel Truck,Normal,High
RT-00663,Istanbul,Kayseri,Diesel Truck,Normal,Low
RT-00664,Istanbul,Kayseri,Diesel Truck,Normal,Medium
RT-00665,Istanbul,Kocaeli,Electric Semi,Normal,Low
RT-00666,Istanbul,Konya,Electric Semi,Normal,High
RT-00667,Istanbul,Konya,Hybrid Van,Snow,High
RT-00668,Istanbul,Malatya,Diesel Truck,Rain,Low
RT-00669,Istanbul,Mersin,Diesel Truck,Normal,Medium
RT-00670,Istanbul,Mersin,Diesel Truck,Storm,Medium
RT-00671,Istanbul,Mersin,Electric Semi,Normal,High
RT-00672,Istanbul,Mersin,Electric Semi,Normal,Low
RT-00673,Istanbul,Mersin,Hybrid Van,Snow,Medium
RT-00674,Istanbul,Sakarya,Diesel Truck,Snow,Medium
RT-00675,Istanbul,Sakarya,Electric Semi,Storm,Low
RT-00676,Istanbul,Samsun,Diesel Truck,Normal,Medium
RT-00677,Istanbul,Samsun,Hybrid Van,Normal,Low
RT-00678,Istanbul,Samsun,Hybrid Van,Snow,Low
RT-00679,Istanbul,Trabzon,Diesel Truck,Normal,Medium
RT-00680,Istanbul,Trabzon,Diesel Truck,Rain,High
RT-00681,Istanbul,Van,Diesel Truck,Normal,High
RT-00682,Istanbul,Van,Diesel Truck,Normal,Medium
RT-00683,Istanbul,Van,Diesel Truck,Snow,Low
RT-00684,Istanbul,Van,Diesel Truck,Storm,Medium
RT-00685,Istanbul,Van,Electric Semi,Normal,Low
RT-00686,Istanbul,Van,Electric Semi,Rain,Medium
RT-00687,Izmir,Adana,Diesel Truck,Normal,Low
RT-00688,Izmir,Adana,Hybrid Van,Rain,Medium
RT-00689,Izmir,Adana,Hybrid Van,Snow,Low
RT-00690,Izmir,Ankara,Diesel Truck,Normal,Low
RT-00691,Izmir,Ankara,Diesel Truck,Normal,Medium
RT-00692,Izmir,Ankara,Electric Semi,Normal,Medium
RT-00693,Izmir,Ankara,Hybrid Van,Normal,Low
RT-00694,Izmir,Ankara,Hybrid Van,Normal,Medium
RT-00695,Izmir,Antalya,Diesel Truck,Normal,Medium
RT-00696,Izmir,Antalya,Diesel Truck,Rain,High
RT-00697,Izmir,Antalya,Diesel Truck,Rain,Medium
RT-00698,Izmir,Antalya,Hybrid Van,Normal,Low
RT-00699,Izmir,Bursa,Hybrid Van,Normal,High
RT-00700,Izmir,Bursa,Hybrid Van,Rain,Medium
RT-00701,Izmir,Denizli,Diesel Truck,Normal,High
RT-00702,Izmir,Denizli,Diesel Truck,Normal,Low
RT-00703,Izmir,Denizli,Hybrid Van,Storm,Low
RT-00704,Izmir,Diyarbakir,Diesel Truck,Rain,Low
RT-00705,Izmir,Erzurum,Diesel Truck,Storm,Low
RT-00706,Izmir,Erzurum,Electric Semi,Normal,Medium
RT-00707,Izmir,Eskisehir,Diesel Truck,Normal,High
RT-00708,Izmir,Eskisehir,Diesel Truck,Normal,Medium
RT-00709,Izmir,Eskisehir,Diesel Truck,Rain,High
RT-00710,Izmir,Eskisehir,Electric Semi,Normal,Low
RT-00711,Izmir,Eskisehir,Electric Semi,Rain,Low
RT-00712,Izmir,Eskisehir,Electric Semi,Snow,High
RT-00713,Izmir,Eskisehir,Electric Semi,Storm,High
RT-00714,Izmir,Gaziantep,Diesel Truck,Rain,Low
RT-00715,Izmir,Gaziantep,Hybrid Van,Normal,High
RT-00716,Izmir,Istanbul,Diesel Truck,Normal,Low
RT-00717,Izmir,Istanbul,Diesel Truck,Normal,Medium
RT-00718,Izmir,Istanbul,Diesel Truck,Rain,High
RT-00719,Izmir,Istanbul,Electric Semi,Normal,Medium
RT-00720,Izmir,Istanbul,Hybrid Van,Normal,Low
RT-00721,Izmir,Istanbul,Hybrid Van,Snow,Low
RT-00722,Izmir,Kayseri,Hybrid Van,Normal,Low
RT-00723,Izmir,Kocaeli,Diesel Truck,Rain,Medium
RT-00724,Izmir,Kocaeli,Diesel Truck,Storm,High
RT-00725,Izmir,Kocaeli,Electric Semi,Normal,Medium
RT-00726,Izmir,Kocaeli,Electric Semi,Rain,Medium
RT-00727,Izmir,Konya,Diesel Truck,Normal,High
RT-00728,Izmir,Konya,Diesel Truck,Normal,Medium
RT-00729,Izmir,Konya,Diesel Truck,Rain,Low
RT-00730,Izmir,Konya,Diesel Truck,Rain,Medium
RT-00731,Izmir,Konya,Diesel Truck,Storm,Low
RT-00732,Izmir,Konya,Electric Semi,Normal,Low
RT-00733,Izmir,Konya,Hybrid Van,Rain,High
RT-00734,Izmir,Malatya,Diesel Truck,Normal,High
RT-00735,Izmir,Malatya,Diesel Truck,Normal,Low
RT-00736,Izmir,Malatya,Diesel Truck,Normal,Medium
RT-00737,Izmir,Mersin,Diesel Truck,Normal,Medium
RT-00738,Izmir,Mersin,Diesel Truck,Rain,Medium
RT-00739,Izmir,Sakarya,Diesel Truck,Normal,Low
RT-00740,Izmir,Sakarya,Diesel Truck,Normal,Medium
RT-00741,Izmir,Samsun,Diesel Truck,Normal,Low
RT-00742,Izmir,Samsun,Diesel Truck,Storm,Low
RT-00743,Izmir,Samsun,Diesel Truck,Storm,Medium
RT-00744,Izmir,Samsun,Electric Semi,Snow,Medium
RT-00745,Izmir,Samsun,Hybrid Van,Snow,Low
RT-00746,Izmir,Trabzon,Diesel Truck,Rain,Medium
RT-00747,Izmir,Trabzon,Hybrid Van,Normal,Medium
RT-00748,Izmir,Van,Diesel Truck,Normal,Low
RT-00749,Izmir,Van,Diesel Truck,Snow,Medium
RT-00750,Izmir,Van,Electric Semi,Rain,Medium
RT-00751,Kayseri,Adana,Diesel Truck,Normal,High
RT-00752,Kayseri,Adana,Electric Semi,Rain,Medium
RT-00753,Kayseri,Adana,Electric Semi,Storm,Low
RT-00754,Kayseri,Adana,Hybrid Van,Rain,Medium
RT-00755,Kayseri,Ankara,Diesel Truck,Normal,Low
RT-00756,Kayseri,Ankara,Diesel Truck,Normal,Medium
RT-00757,Kayseri,Ankara,Diesel Truck,Rain,Medium
RT-00758,Kayseri,Ankara,Diesel Truck,Snow,High
RT-00759,Kayseri,Ankara,Diesel Truck,Storm,Medium
RT-00760,Kayseri,Ankara,Hybrid Van,Normal,High
RT-00761,Kayseri,Antalya,Diesel Truck,Normal,High
RT-00762,Kayseri,Antalya,Diesel Truck,Normal,Low
RT-00763,Kayseri,Antalya,Diesel Truck,Rain,Low
RT-00764,Kayseri,Antalya,Electric Semi,Normal,Medium
RT-00765,Kayseri,Bursa,Diesel Truck,Snow,Medium
RT-00766,Kayseri,Bursa,Hybrid Van,Rain,High
RT-00767,Kayseri,Bursa,Hybrid Van,Snow,High
RT-00768,Kayseri,Denizli,Diesel Truck,Normal,Low
RT-00769,Kayseri,Denizli,Diesel Truck,Rain,High
RT-00770,Kayseri,Denizli,Diesel Truck,Storm,Low
RT-00771,Kayseri,Denizli,Hybrid Van,Storm,Medium
RT-00772,Kayseri,Diyarbakir,Diesel Truck,Normal,Medium
RT-00773,Kayseri,Diyarbakir,Diesel Truck,Rain,Medium
RT-00774,Kayseri,Diyarbakir,Hybrid Van,Normal,High
RT-00775,Kayseri,Diyarbakir,Hybrid Van,Rain,Medium
RT-00776,Kayseri,Erzurum,Electric Semi,Normal,Medium
RT-00777,Kayseri,Eskisehir,Diesel Truck,Normal,High
RT-00778,Kayseri,Eskisehir,Diesel Truck,Normal,Low
RT-00779,Kayseri,Eskisehir,Diesel Truck,Rain,Medium
RT-00780,Kayseri,Eskisehir,Electric Semi,Normal,Low
RT-00781,Kayseri,Gaziantep,Diesel Truck,Normal,Medium
RT-00782,Kayseri,Gaziantep,Diesel Truck,Storm,Low
RT-00783,Kayseri,Gaziantep,Electric Semi,Normal,Low
RT-00784,Kayseri,Gaziantep,Hybrid Van,Normal,Medium
RT-00785,Kayseri,Istanbul,Hybrid Van,Normal,Medium
RT-00786,Kayseri,Izmir,Diesel Truck,Normal,Medium
RT-00787,Kayseri,Izmir,Diesel Truck,Rain,High
RT-00788,Kayseri,Izmir,Diesel Truck,Snow,Low
RT-00789,Kayseri,Izmir,Diesel Truck,Snow,Medium
RT-00790,Kayseri,Kocaeli,Diesel Truck,Normal,Low
RT-00791,Kayseri,Kocaeli,Diesel Truck,Rain,Low
RT-00792,Kayseri,Kocaeli,Diesel Truck,Storm,Low
RT-00793,Kayseri,Kocaeli,Electric Semi,Rain,Low
RT-00794,Kayseri,Kocaeli,Electric Semi,Storm,Low
RT-00795,Kayseri,Konya,Diesel Truck,Normal,Low
RT-00796,Kayseri,Konya,Diesel Truck,Normal,Medium
RT-00797,Kayseri,Konya,Hybrid Van,Rain,Low
RT-00798,Kayseri,Konya,Hybrid Van,Storm,Low
RT-00799,Kayseri,Malatya,Diesel Truck,Normal,Medium
RT-00800,Kayseri,Malatya,Diesel Truck,Snow,Low
RT-00801,Kayseri,Malatya,Diesel Truck,Storm,High
RT-00802,Kayseri,Mersin,Diesel Truck,Normal,Medium
RT-00803,Kayseri,Sakarya,Diesel Truck,Normal,Low
RT-00804,Kayseri,Sakarya,Diesel Truck,Snow,Low
RT-00805,Kayseri,Sakarya,Diesel Truck,Storm,Medium
RT-00806,Kayseri,Sakarya,Electric Semi,Normal,Low
RT-00807,Kayseri,Sakarya,Electric Semi,Normal,Medium
RT-00808,Kayseri,Samsun,Diesel Truck,Normal,Medium
RT-00809,Kayseri,Samsun,Diesel Truck,Storm,Low
RT-00810,Kayseri,Trabzon,Diesel Truck,Normal,High
RT-00811,Kayseri,Trabzon,Diesel Truck,Rain,High
RT-00812,Kayseri,Trabzon,Electric Semi,Snow,Medium
RT-00813,Kayseri,Trabzon,Hybrid Van,Normal,Low
RT-00814,Kayseri,Trabzon,Hybrid Van,Snow,Low
RT-00815,Kayseri,Van,Diesel Truck,Normal,Medium
RT-00816,Kayseri,Van,Diesel Truck,Rain,Medium
RT-00817,Kocaeli,Adana,Diesel Truck,Normal,Low
RT-00818,Kocaeli,Adana,Diesel Truck,Normal,Medium
RT-00819,Kocaeli,Adana,Diesel Truck,Snow,Medium
RT-00820,Kocaeli,Ankara,Diesel Truck,Normal,Low
RT-00821,Kocaeli,Ankara,Diesel Truck,Normal,Medium
RT-00822,Kocaeli,Ankara,Electric Semi,Normal,Low
RT-00823,Kocaeli,Ankara,Hybrid Van,Normal,Low
RT-00824,Kocaeli,Ankara,Hybrid Van,Normal,Medium
RT-00825,Kocaeli,Antalya,Diesel Truck,Normal,Low
RT-00826,Kocaeli,Antalya,Diesel Truck,Normal,Medium
RT-00827,Kocaeli,Antalya,Diesel Truck,Rain,Medium
RT-00828,Kocaeli,Antalya,Diesel Truck,Snow,Medium
RT-00829,Kocaeli,Antalya,Diesel Truck,Storm,High
RT-00830,Kocaeli,Antalya,Diesel Truck,Storm,Low
RT-00831,Kocaeli,Antalya,Hybrid Van,Normal,Low
RT-00832,Kocaeli,Bursa,Diesel Truck,Normal,High
RT-00833,Kocaeli,Bursa,Diesel Truck,Normal,Low
RT-00834,Kocaeli,Bursa,Diesel Truck,Snow,Medium
RT-00835,Kocaeli,Bursa,Hybrid Van,Normal,Low
RT-00836,Kocaeli,Bursa,Hybrid Van,Rain,High
RT-00837,Kocaeli,Bursa,Hybrid Van,Rain,Medium
RT-00838,Kocaeli,Bursa,Hybrid Van,Snow,High
RT-00839,Kocaeli,Denizli,Diesel Truck,Storm,Medium
RT-00840,Kocaeli,Diyarbakir,Diesel Truck,Normal,Low
RT-00841,Kocaeli,Diyarbakir,Diesel Truck,Rain,Low
RT-00842,Kocaeli,Diyarbakir,Electric Semi,Normal,Low
RT-00843,Kocaeli,Diyarbakir,Electric Semi,Normal,Medium
RT-00844,Kocaeli,Diyarbakir,Hybrid Van,Normal,Medium
RT-00845,Kocaeli,Erzurum,Diesel Truck,Normal,Medium
RT-00846,Kocaeli,Erzurum,Hybrid Van,Snow,High
RT-00847,Kocaeli,Eskisehir,Diesel Truck,Normal,Low
RT-00848,Kocaeli,Eskisehir,Electric Semi,Normal,Medium
RT-00849,Kocaeli,Gaziantep,Diesel Truck,Normal,Low
RT-00850,Kocaeli,Gaziantep,Electric Semi,Normal,High
RT-00851,Kocaeli,Gaziantep,Hybrid Van,Normal,High
RT-00852,Kocaeli,Istanbul,Diesel Truck,Normal,High
RT-00853,Kocaeli,Istanbul,Diesel Truck,Normal,Medium
RT-00854,Kocaeli,Istanbul,Electric Semi,Normal,Low
RT-00855,Kocaeli,Istanbul,Hybrid Van,Storm,Medium
RT-00856,Kocaeli,Izmir,Diesel Truck,Normal,High
RT-00857,Kocaeli,Izmir,Diesel Truck,Rain,High
RT-00858,Kocaeli,Izmir,Diesel Truck,Snow,Low
RT-00859,Kocaeli,Izmir,Electric Semi,Rain,Medium
RT-00860,Kocaeli,Izmir,Hybrid Van,Snow,High
RT-00861,Kocaeli,Kayseri,Diesel Truck,Normal,High
RT-00862,Kocaeli,Kayseri,Diesel Truck,Rain,Low
RT-00863,Kocaeli,Kayseri,Diesel Truck,Storm,Medium
